code,name,type,group_id,parent_code,notes
1700,Accounts receivable,asset,bs_receivables_short,,
1763,VAT receivable,asset,bs_receivables_short,,
1910,Main bank account,asset,bs_cash,,
1911,Holvi bank account,asset,bs_cash,,
1912,PayPal bank account,asset,bs_cash,,
1998,Internal transfer clearing,asset,bs_current_assets,,
1999,Suspense account,asset,bs_current_assets,,
2010,Owner contributions,equity,bs_private_investments,,
2060,Owner withdrawals,equity,bs_private_withdrawals,,
2200,Retained earnings,equity,bs_prior_year_result,,
2300,Current year earnings,equity,bs_current_year_result,,
2370,Owner loan liability,liability,bs_long_term_liab,,
2931,VAT payable,liability,bs_short_term_liab,,
3000,Service sales,income,revenue,,
3002,Business transfer income (VAT 0%),income,revenue,,
3200,Legacy retained earnings compatibility,equity,equity,,
4000,Service purchases,expense,pl_materials_and_services,,
6800,Depreciation expense,expense,pl_depreciation_and_impairment,,
8680,Asset disposal loss,expense,pl_other_operating_expenses,,
1160,Equipment and machinery,asset,bs_tangible,,
1162,Accumulated depreciation,asset,bs_tangible,,
3990,Asset disposal gain,income,pl_other_operating_income,,
8564,Bank charges,expense,pl_financial_expenses,,
